@relation noProbing_nonan_noid

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.REPTree numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric

@data
0.631805,10000,1000,100,0.014306,0.655222,458,2,10,12.657878,4.41774,2,3.560658,3.643857,2,9.888889,1.684115,3.135704,2,1.477489,2.751081,2,9,-0.798844,1.589413,2,0.592859,1.715078,0.344778,241,1,2,10,699,16,16,9,1,0.1,0.02289,0.002289,0.9,0.1,-0.308352,2.83691,1.044992,2.326332,0.184621,3.207439,1.233137,2.855379,1.578507,3.491212,1.61832,3.052547,0,0.333333,0,97.198068,96.328502,0,96.521739,95.845411,96.908213,96.811594,96.618357,89.371981,96.038647,95.555556,95.555556,95.169082,91.690821,95.072464,65.700483,91.690821,94.299517,96.618357,93.429952,96.521739,94.202899
0.995498,15808862273296,7928215784,3976036,0.0325,0.1,200,10,1994,0.580943,2.891171,10,0.418722,7.691305,10,1993.953125,-0.045655,0.053085,10,-0.004286,2.152663,10,1993,-0.944709,-1.819707,10,-0.339113,0.892344,0.1,200,0,10,65,2000,0,0,64,1,0,0,0,0.984615,0.015385,-0.14953,-0.298417,-0.104202,1.143848,-0.017346,0.004483,-0.020816,1.647651,0.071655,0.332461,0.059177,2.66148,0,0.213042,0,91.322034,92.949153,0,92.644068,95.59322,0,95.898305,95.118644,0,96.271186,93.423729,62.813559,80.135593,31.389831,83.79661,10,19.59322,81.389831,95.084746,77.457627,95.050847,68.644068
0.995498,61138386560,6113838656,3560768,0.0035,0.1,200,10,1888,0.079494,6155.200435,10,1.008483,3757.634467,10,917.833333,-0.536237,1052.699732,10,0.531567,630.907083,10,3,-1.038356,0.4925,10,-0.062837,0.291316,0.1,200,0,10,7,2000,0,0,6,1,0,0,0,0.857143,0.142857,-0.869249,0.65825,0.214771,0.571545,-0.635264,1.686534,0.624533,0.920872,-0.111491,1656.114273,0.767658,958.166127,0,1001.520328,0,69.084746,70.101695,67.152542,72.949153,74.440678,0,71.016949,73.661017,0,65.864407,69.389831,68.101695,70.610169,46.881356,71.355932,10,19.864407,71.491525,73.661017,71.389831,70.271186,65.389831
0.599305,256,64,16,0.004051,0.700231,1210,4,0,0,0,4,0,0,3.571429,0,0,0,3.571429,0,0,3,0,0,0,3,0,0,0.037616,65,0,4,7,1728,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.534522,0,0.534522,85.614035,85.45809,0,93.216374,98.596491,0,92.787524,92.94347,0,91.578947,87.602339,89.278752,86.471735,70.565302,94.814815,70.565302,70.565302,90.916179,96.491228,87.953216,93.684211,83.391813
0.995498,15808862273296,7928215784,3976036,0.024,0.1,200,10,1994,4.370101,508.902572,10,1.7946,124.192494,10,1993.659574,0.735396,88.636429,10,0.79083,40.125453,10,1987,-0.991412,0.078554,10,0.005492,0.066552,0.1,200,0,10,48,2000,0,0,47,1,0,0,0,0.979167,0.020833,-0.461243,7.537383,0.379049,3.75799,0.444046,69.881897,0.741593,37.878378,1.869984,126.832657,1.254833,65.211345,0,1.147333,0,71.220339,72.610169,71.050847,78.949153,79.79661,0,82.949153,81.457627,0,78.576271,74.271186,50.881356,68.271186,27.322034,70.169492,10,19.423729,69.152542,81.457627,67.423729,76.711864,61.389831
0.996603,8160,2040,510,0.006789,0.42702,629,4,34,1.529607,32.538357,4,1.099014,8.227245,3.125,24.5,0.292856,17.899864,3.125,0.677732,5.292897,2,15,-0.943894,3.261371,2,0.256449,2.358549,0.226069,333,3,3,10,1473,0,0,2,8,0.3,0,0,0.2,0.8,-0.943894,3.261371,0.256449,2.358549,0.292856,17.899864,0.677732,5.292897,1.529607,32.538357,1.099014,8.227245,0.991031,13.435029,0.991031,51.029748,51.578947,0,52.402746,50.297483,0,49.748284,52.631579,0,44.118993,49.565217,52.036613,50.297483,45.308924,50.938215,42.791762,42.791762,52.265446,54.187643,51.350114,51.304348,47.643021
0.726333,9720,1080,120,0.002831,0.517971,4208,12,0,0,0,12,0,0,5.130435,0,0,0,5.130435,0,0,1,0,0,0,1,0,0,0.482029,3916,5,2,23,8124,2480,2480,0,23,0.217391,0.305268,0.013273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.180971,0,3.180971,95.809367,95.439606,0,100,100,100,100,99.991783,99.901397,100,100,100,100,98.471652,100,51.807724,88.677075,100,99.991783,100,100,99.975349
0.544959,96303816,1783404,28308,0.076087,0.630435,232,337,84,2.649195,70.75731,337,1.58053,28.089867,22.333333,48.571429,0.894771,31.107422,22.333333,0.705459,12.710387,2,24,-0.931788,2.94812,2,-0.462969,0.711684,0.369565,136,5,2,28,368,361,1927,7,21,0.178571,0.980978,0.187015,0.25,0.75,-0.929146,4.962319,0.018636,1.927064,0.844197,30.521886,0.964515,10.865663,2.027071,45.656798,1.39429,27.70488,73.266181,18.644545,73.266181,80.560748,77.757009,0,85.046729,83.925234,81.495327,81.869159,84.859813,64.859813,80,70.280374,77.009346,84.11215,42.429907,83.925234,63.551402,79.439252,82.616822,85.981308,64.299065,87.850467,74.579439
0.23937,400,100,25,0.000694,0.333333,4320,5,0,0,0,5,0,0,3.555556,0,0,0,3.555556,0,0,2,0,0,0,2,0,0,0.000154,2,1,5,9,12960,0,0,0,9,0.111111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.013794,0,1.013794,90.517641,90.50734,0,92.480041,99.412825,0,93.026011,92.433685,0,97.543137,96.384239,94.164306,96.4718,70.867886,98.562967,33.350502,66.263199,96.167911,98.413598,95.225341,98.315735,92.804533
0.544959,10777536,244944,4536,0.0625,0.630435,232,6,84,2.649195,70.75731,6,1.58053,28.089867,3.5625,48.571429,0.894771,31.107422,3.5625,0.705459,12.710387,2,24,-0.931788,2.94812,2,-0.462969,0.711684,0.369565,136,3,2,23,368,361,1927,7,16,0.130435,0.980978,0.22767,0.304348,0.695652,-0.929146,4.962319,0.018636,1.927064,0.844197,30.521886,0.964515,10.865663,2.027071,45.656798,1.39429,27.70488,1.152895,18.644545,1.152895,78.317757,75.88785,0,77.757009,79.439252,78.691589,81.308411,81.121495,61.308411,78.317757,72.523364,82.616822,81.869159,79.439252,83.551402,63.551402,79.439252,83.925234,81.869159,82.616822,84.299065,76.635514
0.092543,83521,4913,289,0.011566,0.101779,572,10,17,2807.498576,11.98968,10,52.995278,6.518238,10,14.28125,168.553869,4.911243,10,5.451186,3.686292,10,1,-1.64652,0,10,-1.302992,0,0.098577,554,0,10,65,5620,0,0,64,1,0,0,0,0.984615,0.015385,-1.372991,0.261032,-0.329927,0.967117,0.077216,4.565569,0.559945,4.301747,20.296405,9.049155,4.066612,5.866372,0,5.128411,0,91.794258,90.801435,90.657895,93.241627,98.038278,0,98.19378,96.901914,0,98.433014,97.57177,59.892344,89.772727,26.375598,91.961722,10.167464,19.772727,89.629187,97.165072,88.074163,97.858852,86.638756
0.978229,3061428000,18008400,83760,0.023188,0.555072,383,14,349,214.669972,1017.385507,14,13.140655,5210.102598,4.2,188.166667,49.931704,207.05843,4.2,4.423867,901.509141,2,23,1.119236,2.223406,2,1.145892,3.346513,0.444928,307,5,2,16,690,37,67,6,10,0.3125,0.053623,0.006069,0.375,0.625,1.985325,2.355851,1.403083,4.483833,15.348781,18.163448,2.807662,8.468013,91.789567,392.357455,7.149554,1432.880726,4.049691,109.579956,4.049691,86.960784,76.568627,0,84.215686,81.666667,84.705882,84.901961,84.411765,63.137255,79.509804,78.72549,84.117647,85.196078,85.686275,83.137255,55.392157,85.686275,85.490196,84.607843,85.196078,85.196078,76.078431
0.873355,3871145871990,3621277710,2595898,0.00201,0.89768,4913,5,1718,4816.887815,1198.405628,5,67.425406,4849.37695,5,909.2,652.829669,253.327586,5,14.711452,840.233619,5,104,0.691928,0.368642,5,-0.834717,0.170661,0.005116,28,0,5,11,5473,0,0,10,1,0,0,0,0.909091,0.090909,3.990658,4.860722,1.985557,14.264862,123.988234,51.661111,8.931144,91.900389,528.481233,459.725105,19.735328,1423.125887,0,508.74438,0,93.488372,89.498164,91.578947,96.523868,96.119951,0,92.741738,96.548348,0,96.009792,96.915545,96.095471,97.246022,94.051408,96.952264,90.085679,93.402693,97.013464,96.903305,96.805386,97.4541,96.132191
0.56957,16108290,1610829,48813,0.021,0.7,700,10,921,4.29259,3271.258,10,1.949628,2822.736876,4,145.857143,0.924278,476.583857,4,0.920379,407.047619,2,2,-1.381449,1.155,2,-0.531348,0.362086,0.3,300,3,2,21,1000,0,0,7,14,0.142857,0,0,0.333333,0.666667,-1.210473,1.407,-0.27257,0.577654,0.919781,2.973,1.094184,1.118715,1.649274,35.546,1.909445,12.058814,2.038099,342.362103,2.038099,74.765101,74.42953,0,74.966443,71.744966,74.42953,75.436242,74.697987,70.134228,70.469799,68.926174,72.013423,71.812081,67.181208,71.342282,70.134228,70.134228,72.214765,74.697987,71.610738,75.503356,66.711409
0.102902,104060401,1030301,10201,0.001547,0.104076,1144,10,101,3.050747,85.120269,10,0.948265,41.7604,10,100.5,-0.501043,50.711046,10,-0.039196,29.774238,10,96,-1.685793,28.845342,10,-1.491183,16.218571,0.095979,1055,0,10,17,10992,0,0,16,1,0,0,0,0.941176,0.058824,-1.19726,35.906364,-0.42509,26.50641,-0.783902,48.52893,0.086459,30.241492,-0.260617,59.604417,0.447357,34.227219,0,1.414214,0,87.757465,85.971968,81.035954,95.447898,94.308349,0,97.89153,95.466179,0,99.219988,99.024985,75.630713,95.868373,38.647166,96.569165,10.390006,20.371725,95.996344,98.287629,94.771481,98.884826,94.996953
0.421918,5760,1440,360,0.095628,0.306011,112,6,60,-0.707909,36.296089,6,0.073352,15.324557,3.970588,60,-0.707909,36.296089,3.970588,0.073352,15.324557,2,60,-0.707909,36.296089,2,0.073352,15.324557,0.054645,20,1,6,35,366,8,8,1,34,0.028571,0.021858,0.000625,0.028571,0.971429,-0.707909,36.296089,0.073352,15.324557,-0.707909,36.296089,0.073352,15.324557,-0.707909,36.296089,0.073352,15.324557,0.521379,0,0.521379,97.029703,96.237624,0,97.821782,96.237624,0,96.831683,96.237624,0,93.663366,93.267327,85.742574,88.514851,51.485149,94.653465,31.683168,51.485149,93.861386,96.435644,90.693069,97.029703,89.108911
0.148116,5474014026840,4638994938,3649878,0.008658,0.142857,330,7,1922,339.221094,124.913853,7,16.900935,72.956532,7,670,38.517191,24.633144,7,3.320959,25.314714,7,1,-1.215871,-12.69086,7,-0.885361,0,0.142857,330,0,7,20,2310,0,0,19,1,0,0,0,0.95,0.05,0.094972,0.014334,0.691097,1.545336,0.688741,8.243692,1.302781,19.571819,34.340119,37.051595,5.366955,43.527458,0,581.79712,0,91.720117,80.204082,0,95.218659,96.38484,0,92.099125,94.548105,0,96.705539,96.822157,86.093294,94.693878,63.061224,95.830904,14.285714,28.571429,96.559767,96.472303,94.83965,97.900875,95.364431
0.550196,3243351936,23848176,128216,0.011719,0.651042,500,2,517,7.21426,120.894531,2,2.272251,115.244002,2,156.75,2.775362,44.985791,2,0.529246,25.733743,2,17,-0.520072,0.471876,2,-1.843608,0.331329,0.348958,268,1,2,9,768,0,0,8,1,0.111111,0,0,0.888889,0.111111,0.27961,8.017904,-0.294393,4.498224,1.966801,32.616732,0.537714,13.856225,5.491254,77.125977,1.722332,28.818415,0,166.099583,0,76.140351,74.649123,58.947368,77.017544,74.385965,76.929825,76.666667,77.105263,65.877193,70.789474,69.824561,75.350877,75.701754,72.45614,74.298246,65.350877,73.245614,74.122807,77.105263,74.649123,76.491228,67.894737
0.886502,2363021388,16185078,69167,0.007953,0.938759,3541,5,287,238.181462,110.469649,5,13.882653,35.604248,2.086957,152.857143,51.413135,46.43669,2.086957,3.569192,19.053878,1,0,4.073471,0.995,1,1.232674,0.195457,0.061241,231,21,2,30,3772,3772,6064,7,23,0.7,1,0.053588,0.233333,0.766667,5.982197,1.758875,1.258947,0.66944,8.871304,28.411323,1.538153,22.303214,90.942488,108.856921,4.937524,33.718335,0.668312,105.178307,0.668312,97.183348,92.612932,0,96.687334,96.59876,96.138175,93.976971,96.59876,93.658105,95.394154,95.74845,97.466785,97.998229,96.173605,98.458813,93.976971,96.457042,98.937112,98.795394,98.759965,98.210806,97.325066
0.979104,31026996,492492,6396,0.02381,0.425595,143,8,82,336,0.501488,8,18.330303,0.215751,8,51.857143,51.976031,0.499566,8,3.605501,0.143729,8,2,-1.044754,0.495476,8,-0.165956,0.027277,0.005952,2,0,8,8,336,0,0,7,1,0,0,0,0.875,0.125,-0.938214,0.499732,0.062867,0.088495,0.259415,0.50003,0.41422,0.148157,29.079409,0.500179,5.559348,0.209411,0,35.049625,0,80.212766,83.829787,43.617021,83.829787,81.914894,0,85.957447,85.106383,0,80,79.787234,77.446809,81.276596,65.744681,81.489362,43.617021,66.595745,80,85.106383,79.574468,83.404255,76.595745
0.995169,1835993952,8912592,43056,0.293269,0.533654,111,2,208,20.736121,0.702155,2,3.401697,0.264121,2,187.6,2.276777,0.281321,2,0.96722,0.142238,2,109,-1.210104,0.006507,2,-0.788909,0.005031,0.466346,97,1,2,61,208,0,0,60,1,0.016393,0,0,0.983607,0.016393,-0.552121,0.05242,0.449359,0.040453,0.848534,0.261763,0.940069,0.146295,3.607024,0.433585,1.693278,0.237218,0,28.122733,0,71.333333,67.333333,66.666667,72.666667,83,75.666667,76,70,66.666667,87,85.333333,66.666667,71,62,76,53.333333,70.333333,69.333333,74.333333,69.666667,81,71.333333
0.262911,480724244,3614468,25454,0.046729,0.35514,76,6,178,54.689699,72.650935,6,6.551648,1.442408,6,104.333333,9.908544,11.265852,6,1.652594,0.689541,6,32,-0.410319,0.057009,6,-1.152559,0.003037,0.042056,9,0,6,10,214,0,0,9,1,0,0,0,0.9,0.1,2.361292,0.336051,-0.138133,0.297329,3.052232,1.518365,1.625431,0.652192,9.611531,11.182407,2.731739,1.119879,0,51.456292,0,68,49.090909,50.181818,59.636364,67.272727,0,60.727273,63.272727,0,66.545455,71.636364,65.818182,67.272727,55.636364,62.909091,38.181818,48.363636,61.818182,65.090909,64.727273,77.454545,63.636364
